2014698310, 86-hancock-drive-cherrybrook-nsw-2126-2014698310, Cherrybrook Technology High School, 0.3 km, John Purchase Public School, 1.1 km, Oakhill College, 1.5 km, 
2014548098, 12-buyuma-street-carlingford-nsw-2118-2014548098, Carlingford Public School, 1.2 km, Cumberland High School, 2.1 km, Macarthur Girls High School, 5.1 km, 
2014646649, 115-coronation-road-baulkham-hills-nsw-2153-2014646649, Jasper Road Public School, 0.2 km, Model Farms High School, 1.5 km, Our Lady Of Lourdes Primary School, 1.7 km, 
2014641896, 51-dorahy-street-dundas-nsw-2117-2014641896, Ermington West Public School, 1 km, Cumberland High School, 1.9 km, Macarthur Girls High School, 3.8 km, 
2014483453, 36-franklin-road-cherrybrook-nsw-2126-2014483453, Cherrybrook Public School, 0.6 km, Cherrybrook Technology High School, 1 km, Tangara School For Girls, 0.4 km, 
2014522578, 25-bray-street-dundas-nsw-2117-2014522578, Ermington West Public School, 0.7 km, Cumberland High School, 2.2 km, Macarthur Girls High School, 4.1 km, 
2014614897, 469-windsor-road-baulkham-hills-nsw-2153-2014614897, Excelsior Public School, 1 km, Model Farms High School, 2.7 km, St Michael's Primary School, 0.7 km, 
2014715548, 43a-parsonage-road-castle-hill-nsw-2154-2014715548, Excelsior Public School, 0.8 km, Castle Hill High School, 1 km, Hills Adventist College, 0.9 km, 
2014658563, 3-barossa-court-baulkham-hills-nsw-2153-2014658563, Crestwood Public School, 0.8 km, Crestwood High School, 0.9 km, St Michael's Primary School, 1.2 km, 
2014420905, 12-salamander-grove-baulkham-hills-nsw-2153-2014420905, Crestwood High School, 0.7 km, Crestwood Public School, 1.1 km, St Michael's Primary School, 0.8 km, 
2014655782, 41-macartney-st-ermington-nsw-2115-2014655782, Rydalmere East Public School, 0.4 km, Marsden High School, 1.7 km, Macarthur Girls High School, 4.6 km, 
2014657560, 107-baulkham-hills-road-baulkham-hills-nsw-2153-2014657560, Model Farms High School, 0.8 km, Matthew Pearce Public School, 1 km, St Paul The Apostle Primary School, 1.2 km, 
2014656146, 6-park-road-baulkham-hills-nsw-2153-2014656146, Baulkham Hills North Public School, 1 km, Muirfield High School, 1.8 km, Our Lady Of Lourdes Primary School, 0.9 km, 
2014705462, 2a-freeman-place-carlingford-nsw-2118-2014705462, Epping West Public School, 1.4 km, Marsden High School, 1.9 km, Marist College, 1.3 km, 
2014571435, 12-baronbali-street-dundas-nsw-2117-2014571435, Telopea Public School, 0.9 km, Cumberland High School, 2.1 km, Macarthur Girls High School, 3.2 km, 
2014642394, 48-bain-place-dundas-valley-nsw-2117-2014642394, Yates Avenue Public School, 0.6 km, Cumberland High School, 2.4 km, Macarthur Girls High School, 5.1 km, 
2014712451, 9-carnegie-place-castle-hill-nsw-2154-2014712451, Excelsior Public School, 0.5 km, Castle Hill High School, 1.2 km, Hills Adventist College, 1 km, 
2014709434, 5-courtyard-place-castle-hill-nsw-2154-2014709434, Samuel Gilbert Public School, 0.4 km, Castle Hill High School, 2.3 km, William Clarke College, 1.8 km, 
2014646852, 31-tamboura-avenue-baulkham-hills-nsw-2153-2014646852, Model Farms High School, 0.3 km, Winston Heights Public School, 1.1 km, St Paul The Apostle Primary School, 1 km, 
2014658178, 37-oleander-avenue-baulkham-hills-nsw-2153-2014658178, Model Farms High School, 0.5 km, Winston Heights Public School, 1.2 km, St Paul The Apostle Primary School, 1.2 km, 
2014696350, 1a-rumsey-crescent-dundas-nsw-2117-2014696350, Telopea Public School, 0.6 km, Cumberland High School, 1.7 km, Macarthur Girls High School, 3.8 km, 
2014485160, 16a-jervis-street-ermington-nsw-2115-2014485160, Melrose Park Public School, 0.8 km, Marsden High School, 1.3 km, Riverside Girls High School, 8 km, 
2014626855, 12-wiltshire-court-cherrybrook-nsw-2126-2014626855, Cherrybrook Technology High School, 0.4 km, John Purchase Public School, 1 km, Tangara School For Girls, 1.2 km, 
2014539639, 25-boronia-street-ermington-nsw-2115-2014539639, Rydalmere East Public School, 0.2 km, Marsden High School, 1.9 km, Macarthur Girls High School, 4.5 km, 
2014391401, ermington-nsw-2115-2014391401, Rydalmere East Public School, 0.5 km, Marsden High School, 1.5 km, Macarthur Girls High School, 4.5 km, 
2014572606, 16-hilary-crescent-dundas-nsw-2117-2014572606, Telopea Public School, 0.9 km, Cumberland High School, 2.1 km, Macarthur Girls High School, 3.7 km, 
2014555285, 9-george-mobbs-drive-castle-hill-nsw-2154-2014555285, Baulkham Hills North Public School, 0.3 km, Muirfield High School, 2.7 km, Hills Adventist College, 1.6 km, 
2013878448, 7-madison-avenue-carlingford-nsw-2118-2013878448, Carlingford Public School, 0.7 km, Marsden High School, 2.1 km, Carlingford High School, 2.4 km, 
2014717266, 9-boulton-avenue-baulkham-hills-nsw-2153-2014717266, Excelsior Public School, 0.9 km, Model Farms High School, 3 km, St Michael's Primary School, 0.5 km, 
2014573955, 1-balintore-drive-castle-hill-nsw-2154-2014573955, Castle Hill High School, 1.4 km, Samuel Gilbert Public School, 1.5 km, Lorien Novalis School, 1.6 km, 
2014670663, 13-norfolk-place-carlingford-nsw-2118-2014670663, Carlingford West Public School, 0.7 km, Cumberland High School, 1.1 km, Christ The King Primary School, 0.6 km, 
2014668542, 17-stewart-drive-castle-hill-nsw-2154-2014668542, Baulkham Hills North Public School, 1.4 km, Muirfield High School, 3.1 km, Hills Adventist College, 0.5 km, 
2014656047, 26-mulheron-avenue-baulkham-hills-nsw-2153-2014656047, Model Farms High School, 0.9 km, Matthew Pearce Public School, 1 km, St Paul The Apostle Primary School, 1.6 km, 
2014326557, 36-brooklyn-crescent-carlingford-nsw-2118-2014326557, Carlingford Public School, 0.6 km, Marsden High School, 2.1 km, Carlingford High School, 2.3 km, 
2014685938, 26-government-farm-crescent-castle-hill-nsw-2154-2014685938, Castle Hill Public School, 1.1 km, Castle Hill High School, 1.4 km, Oakhill College, 0.7 km, 
2014715005, 39-kings-road-castle-hill-nsw-2154-2014715005, Sherwood Ridge Public School, 1.5 km, Castle Hill High School, 2 km, Gilroy College, 0.8 km, 
2014681729, 2-yvette-street-baulkham-hills-nsw-2153-2014681729, Baulkham Hills North Public School, 1.3 km, Muirfield High School, 2.4 km, Our Lady Of Lourdes Primary School, 0.4 km, 
2014711297, 24-captain-strom-place-carlingford-nsw-2118-2014711297, Cumberland High School, 0.9 km, Telopea Public School, 1 km, Macarthur Girls High School, 4.3 km, 
2014714443, 68-old-castle-hill-road-castle-hill-nsw-2154-2014714443, Castle Hill Public School, 0.6 km, Castle Hill High School, 1 km, St Bernadette's Primary School, 0.8 km, 
2014695530, 10-philip-place-carlingford-nsw-2118-2014695530, Murray Farm Public School, 0.3 km, Muirfield High School, 1.7 km, St Gerard's Primary School, 1.6 km, 
